Name;body;brain
Arctic fox;3,39;44,5
Owl monkey;0,48;15,5
Mountain beaver;1,35;8,1
Cow;465,00;423
Grey wolf;36,33;119,5
Goat;27,66;115
Roe deer;14,83;98,2
Guinea pig;1,04;5,5
Verbet;4,19;58
Chinchilla;0,43;6,4
Ground squirrel;0,10;4
Arctic ground squirrel;0,92;5,7
African giant pouched rat;1,00;6,6
Lesser short-tailed shrew;0,01;0,14
Star-nosed mole;0,06;1
Nine-banded armadillo;3,50;10,8
Tree hyrax;2,00;12,3
N.A. opossum;1,70;6,3
Asian elephant;2547,00;4603
Big brown bat;0,02;0,3
Donkey;187,10;419
Horse;521,00;655
European hedgehog;0,79;3,5
Patas monkey;10,00;115
Cat;3,30;25,6
Galago;0,20;5
Genet;1,41;17,5
Giraffe;529,00;680
Gorilla;207,00;406
Grey seal;85,00;325
Rock hyrax-a;0,75;12,3
Human;62,00;1320
African elephant;6654,00;5712
Water opossum;3,50;3,9
Rhesus monkey;6,80;179
Kangaroo;35,00;56
Yellow-bellied marmot;4,05;17
Golden hamster;0,12;1
Mouse;0,02;0,4
Little brown bat;0,01;0,25
Slow loris;1,40;12,5
Okapi;250,00;490
Rabbit;2,50;12,1
Sheep;55,50;175
Jaguar;100,00;157
Chimpanzee;52,16;440
Baboon;10,55;179,5
Desert hedgehog;0,55;2,4
Giant armadillo;60,00;81
Rock hyrax-b;3,60;21
Raccoon;4,29;39,2
Rat;0,28;1,9
E. American mole;0,08;1,2
Mole rat;0,12;3
Musk shrew;0,05;0,33
Pig;192,00;180
Echidna;3,00;25
Brazilian tapir;160,00;169
Tenrec;0,90;2,6
Phalanger;1,62;11,4
Tree shrew;0,10;2,5
Red fox;4,24;50,4
