Obs;Anio;Mes;Paro;ParoMM
1;2022;1;3123078;3,12
2;2022;2;3111684;3,11
3;2022;3;3108763;3,11
4;2022;4;3022503;3,02
5;2022;5;2922991;2,92
6;2022;6;2880582;2,88
7;2022;7;2883812;2,88
8;2022;8;2924240;2,92
9;2022;9;2941919;2,94
10;2022;10;2914892;2,91
11;2022;11;2881380;2,88
12;2022;12;2837653;2,84
13;2023;1;2908397;2,91
14;2023;2;2911015;2,91
15;2023;3;2862260;2,86
16;2023;4;2788370;2,79
17;2023;5;2739110;2,74
18;2023;6;2688842;2,69
19;2023;7;2677874;2,68
20;2023;8;2702700;2,70
21;2023;9;2722468;2,72
22;2023;10;2759404;2,76
23;2023;11;2734831;2,73
24;2023;12;2707456;2,71
